صباح النور من معاصر بيت الدين قضاء الشوف...لبنان الحلو💚 #نازل_ع_لبنان credit 📸 samer ghanem,صباحك الاحلى! الله يحميك انت و عيلتك ❤️❤️❤️❤️,positive
إنتِ والنبيه شو ناطركن...,ابصرش هيك شو ناطرنا? اذا فكرك تخوفنا خفنا من الصورة,neutral
كل حدا بينزّل حكمة هون ... يطبقها وبلا فلسفة علينا. وانو شكسبير شو تمسرح ، وجلال الدين الرومي كيف تروحَن ، وجبران ( بلا معنى) والمنفلوطي ومحفوظ وهالخبار معش زابطة صدقوني. إرخي القصة شو بدك عيف خلينا نعيش الواقع ونكتب من وحي النطرة ع محطة البنزين مثلا #ليلة_المحطة_جمعتنا,انت متلنا عم تنطري كمان ?!,neutral
المنتشرين اليوم بفضلهم ما زال لبنان صامد، ولولاهم كانت ازمته اصعب. كانوا يحوّلوا 7 مليار دولار وبعدهم عم يحوّلوا 7 مليار بالرغم من عدم ثقتهم بالنظام المصرفي. والـ 7 مليار دولار تبعهم اليوم قيمتها مرتين أو ثلاثة أو اربعة  مرات اكثر من قبل.,انت كرهت العالم بلبنان،سواء لبنانيين او عرب او عجم ،حتى الحيوانات الي اعلى منك قيمه كرهتها منك،انت وصمة عاار وسخه على لبنان،مزبلة التاريخ كتيير عليك لكن مافيك تكون الا بهالمزبله، فاسد وحراامي هذا مايعرفه كل العالم عنك،سلمت للبنان والشعب اللبناني للأرهابي حسونه تفوو عليكن,negative
لايك ونقطة واحكي عنكو 🌚💜.,... مابعرفك ومش هل معرفة بس هي نقطة لنتعرف 😂😂,positive
#نحن_من_جيل لما كنت البس كعب عالي وقلّد عارضات الأزياء كيف بيمشوا آخر شي يجي البابا يدقني قتلة لقوم ادرس💔 صورة عمرها 26 سنة🥺,اكانهم 26يوم مش سنة يحفظك ربي ريتا,positive
صوروا هذه التغريدة يا عرب لمعرفة اذا الفلكي كلامه صحيح,وهل الملك عبدالله مخلد !! حتما كلنا سنموت ولكن الاعمار بيد الله لا يعلم قدرها غيره وهذا المنجم الامعه لا يعلم الغيب ليحدد الموعد والاردن مهما عصفت به الرياح والزوابع يبقى درعا حاميا للاسرة الهاشميه,no_ref
سرقة موصوفة لشي400 مليار دولار مع سنوات من العمل الدؤوب لضرب كل محاولات التغيير، قال شو بدك تقنعني،ياقمر بدي اقنعك بنتيجة الحساب وحصيلة الصندوق او بدي اقنعك انك فاشل و مجمع زمر نموذجية من الجوعانين للسلطة و المال مع شهادة ايزو بأسرع انهيار واكذب ممارسة سياسية و خداع للناس #صادق,عندما استلمتم الحكم في عام 2011 كان الدين العام 44مليار دولار. والنمو 8%. وانتوا رفعتوا الدين العام إلى 100مليار دولار. وهلكتوا الكهرباء والماء والسدود وهدر اموال الشعب اللبناني ومدخراته وجنى عمره وصار سوبر مليونير وقصور وعقارات وسيارات وطيارة ويخت وسيارة بوغيتي. بيكفي كذب وفساد,negative
يقوم رئيس الأركان الجنرال أفيف كوخافي بزيارة رسمية إلى الولايات المتحدة وذلك يوم الأحد، إذ سيحل ضيفًا على رئيس هيئات الأركان المشتركة الأمريكية الجنرال مارك ميلي. كان من المفترض أن تتم الزيارة في شهر نيسان الماضي وتم تأجيلها لأسباب تتعلق بتقييم الوضع الأمني وعملية حارس الأسوار,كملتي يا خنزير والا مازلت?!,negative
ميليشيا #حماس الإرهابية شكرت اليوم قناة #الجزيرة على تغطيتها المؤيدة لها خلال عملية حارس الأسوار ومنحت لوحة تقدير لمدير مكتب الجزيرة في #غزة. قناة الجزيرة أشادت من جانبها بزيارة وفد حماس لمكتبها ويمكنكم مشاهدة الصور هنا.,الحق يقال رغم أني أكره الجزيرة ولكن كان لها دور كبير في غزة وفلسطين,no_ref
